id,country,city,date,lattitude,longitude,max_temp,wind_speed,humidity,cloudiness
1862555,JP,Hirado,1556936615,33.32,129.49,73.99,2.24,46,61
1213855,ID,Sibolga,1556936485,1.74,98.78,83.19,2.55,74,100
1320944,MM,Kanbe,1556933400,16.71,96.0,86.0,5.82,70,40
4791259,US,Virginia Beach,1556936595,36.85,-75.98,77.0,10.29,83,75
3372707,PT,Ribeira Grande,1556936634,38.52,-28.7,62.15,12.3,83,100
2173911,AU,Broken Hill,1556931600,-31.97,141.45,59.0,17.22,67,90
1688687,PH,San Quintin,1556936637,17.54,120.52,91.96,7.78,39,1
5810176,US,Union,1556936636,47.36,-123.1,63.0,3.36,45,90
335733,ET,Gimbi,1556936640,8.81,37.79,55.49,3.83,45,4
1850144,JP,Nishihara,1556936627,35.74,139.53,79.0,6.93,68,20
5836068,US,Rawlins,1556935800,41.79,-107.24,53.6,9.17,23,1
3423146,GL,Ilulissat,1556934600,69.22,-51.1,46.4,16.11,39,1
1274761,IN,Chandbali,1556936646,20.77,86.74,88.2,14.45,56,100
8010472,PT,Belmonte,1556936223,40.36,-7.35,43.0,4.45,89,0
1507116,RU,Dudinka,1556933400,69.41,86.18,14.0,4.47,61,0
146639,CY,Lasa,1556936172,34.92,32.53,60.8,9.17,87,0
1281256,CN,Gamba,1556936652,28.28,88.52,42.53,9.31,52,10
4036284,NU,Alofi,1556931600,-19.06,-169.92,78.8,12.75,88,90
3347853,AO,Longonjo,1556936655,-12.91,15.25,56.21,2.51,67,60
2123814,RU,Leningradskiy,1556936656,69.38,178.42,30.83,9.82,86,52
3451138,BR,Rio Grande,1556936500,-32.03,-52.1,67.48,2.48,96,0
2166368,AU,Forbes,1556935838,-33.38,148.01,68.0,1.01,50,8
2212775,LY,Sabha,1556936660,27.03,14.43,85.51,26.15,14,22
780687,NO,Berlevag,1556936662,70.86,29.09,30.22,4.34,71,71
2157698,AU,Mildura,1556936178,-34.18,142.16,62.01,11.41,67,40
2020584,RU,Magistralnyy,1556936665,56.17,107.45,42.13,10.11,40,75
5859699,US,College,1556936646,64.86,-147.8,44.6,8.05,52,90
789988,RS,Mana,1556935200,43.52,20.24,46.4,1.12,100,0
3171985,IT,Orbetello,1556936138,42.44,11.21,57.2,1.12,87,40
3698304,PE,Chimbote,1556936670,-9.08,-78.59,65.84,12.97,92,0
1337612,MV,Dhidhdhoo,1556936571,6.88,73.1,84.78,8.32,64,93
6145890,CA,Shelburne,1556936522,44.08,-80.2,51.01,3.36,100,90
1648186,ID,Bontang,1556936675,0.12,117.47,92.37,3.06,51,7
53157,SO,Qandala,1556936676,11.47,49.87,88.7,3.49,57,0
6255012,AU,Flinders,1556936646,-34.58,150.85,73.99,6.93,34,0
5467328,US,Farmington,1556936404,36.73,-108.21,64.4,9.17,15,1
2737599,PT,Saldanha,1556936681,41.42,-6.55,46.92,5.48,75,1
5554428,US,Ketchikan,1556933520,55.34,-131.65,51.8,4.7,76,90
617904,MD,Leova,1556936684,46.48,28.25,54.88,2.39,72,98
6166142,CA,Thunder Bay,1556936168,48.41,-89.26,37.4,10.29,93,90
2642384,GB,Moffat,1556936684,55.33,-3.44,37.0,10.29,92,24
140521,IR,Bijar,1556936688,35.87,47.6,54.57,3.06,51,100
1258207,IN,Pipri,1556936689,24.21,83.02,86.38,6.42,44,100
1624987,ID,Indramayu,1556936690,-4.05,103.78,86.52,3.0,55,39
556268,RU,Ostrovnoy,1556936692,68.05,39.51,29.95,13.24,95,100
2634739,GB,Warrington,1556936689,53.39,-2.59,42.01,2.24,86,75
2122614,RU,Okha,1556936647,53.59,142.95,37.4,8.43,76,41
1346493,UZ,Nuristan,1556933400,38.49,65.64,57.2,6.93,82,0
3981460,MX,Coahuayana,1556936697,18.62,-100.35,88.34,3.38,19,0
1630662,ID,Praya,1556935200,-8.71,116.27,87.8,4.7,70,40
2122090,RU,Pevek,1556936700,69.7,170.27,31.17,3.2,82,0
1488429,RU,Uray,1556936702,60.13,64.8,49.41,10.78,90,96
511002,RU,Pervomaysk,1556936703,54.87,43.81,46.98,6.53,83,0
3031871,FR,Veraval,1556936703,49.65,0.71,50.0,6.93,93,100
5587698,US,Caldwell,1556936608,43.67,-116.69,73.4,6.93,20,1
1641899,ID,Labuhan,1556936707,-2.54,115.51,92.43,3.27,45,0
3359736,ZA,Vredendal,1556936708,-31.68,18.49,60.33,21.27,78,44
2121052,RU,Sovetskaya Gavan,1556936710,48.97,140.29,60.19,6.17,43,86
1623251,ID,Trenggalek,1556936711,-8.05,111.71,83.53,6.71,63,2
1277535,IN,Balod,1556936712,20.73,81.21,90.64,8.28,42,100
1685422,PH,Sulangan,1556936713,11.14,123.72,86.13,4.7,64,65
2185329,NZ,Waipawa,1556936537,-39.94,176.59,64.0,5.01,62,0
2281120,CI,Tabou,1556936716,4.42,-7.36,76.14,2.68,95,100
2051523,RU,Bratsk,1556936588,56.15,101.63,46.0,8.95,28,0
72181,YE,Marzuq,1556936719,14.4,46.47,74.1,6.76,23,0
2013279,RU,Vostok,1556936661,46.45,135.83,71.33,9.66,24,0
2123628,RU,Magadan,1556936721,59.56,150.8,39.7,12.97,58,62
988290,MZ,Komatipoort,1556936188,-25.43,31.96,59.0,3.47,82,0
1244926,LK,Hambantota,1556932200,6.12,81.12,78.8,2.24,100,20
1490256,RU,Talnakh,1556933400,69.49,88.39,14.0,4.47,61,0
5563397,US,Eureka,1556936623,40.8,-124.16,62.01,9.17,81,1
2742416,PT,Barcelos,1556936677,41.53,-8.62,63.0,3.36,87,0
5598538,US,Lewiston,1556936662,46.42,-117.02,60.8,8.05,38,1
2101169,PG,Aitape,1556936732,-3.15,142.36,79.61,3.47,83,100
584991,AZ,Suraabad,1556933400,40.82,49.47,57.2,20.8,87,99
1505991,RU,Igarka,1556936734,67.47,86.57,25.32,8.21,90,98
4032369,TO,Pangai,1556935200,-19.8,-174.35,77.0,18.34,69,75
3429594,AR,Reconquista,1556936737,-29.14,-59.64,73.08,5.03,92,93
2278158,LR,Buchanan,1556936738,5.88,-10.05,83.39,9.51,79,100
504269,RU,Pudozh,1556936740,61.81,36.54,30.47,16.08,70,100
1082243,MG,Ambilobe,1556936741,-13.19,49.05,73.81,9.8,75,34
3671437,CO,Puerto Leguizamo,1556936743,-0.19,-74.78,71.62,1.03,98,95
1689431,PH,San Jose,1556936590,15.79,120.99,94.12,5.17,41,43
3115824,ES,Muros,1556936704,42.77,-9.06,53.01,5.82,87,0
1731047,PH,Amio,1556935200,9.36,122.94,89.6,6.93,70,40
5783695,US,Tooele,1556936719,40.53,-112.3,62.6,3.69,41,1
2312888,CD,Mbanza-Ngungu,1556936751,-5.25,14.87,72.32,1.12,96,94
3037456,FR,Saint-Joseph,1556936720,43.56,6.97,55.4,3.36,100,75
1626542,ID,Sorong,1556936754,-0.86,131.25,87.19,0.45,69,100
1056899,MG,Sambava,1556936755,-14.27,50.17,67.14,3.62,98,29
3404558,BR,Cabedelo,1556935200,-6.97,-34.84,75.2,4.7,94,40
4305504,US,Radcliff,1556936559,37.84,-85.95,69.8,3.36,82,90
5746545,US,Portland,1556936606,45.52,-122.67,68.0,8.05,42,75
2023377,RU,Ivolginsk,1556933400,51.75,107.28,39.2,4.47,51,20
1250161,LK,Batticaloa,1556936663,7.71,81.69,84.4,0.98,72,100
2026023,RU,Bukachacha,1556936763,52.99,116.91,41.11,9.53,22,83
6157956,CA,Stranraer,1556936670,51.71,-108.48,41.0,27.51,41,75
739236,TR,Sungurlu,1556936766,40.17,34.38,45.59,2.13,79,0
